# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 03 15:37:12 CEST 2020 [seed=1593783432197]
# MIKC_orthogroup_selection-basal-v6_guide-v4_aligned-mafft-einsi_trim-gt1-seqrmmanual_beastv1.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
12000	-51288.41008039535	-694.1455260626013	-50594.264554332745	1.3790891620702153	76.72982678710667	22.51053747271694	1.0	1.0	-50594.264554332745	0.0	-691.0315425309035
13000	-50801.29383392837	-687.3531897366352	-50113.94064419174	1.25784810259019	73.7389736979976	20.440786821930768	1.0	1.0	-50113.94064419174	0.0	-684.3356574778169
14000	-50557.01580606872	-685.3758576606779	-49871.63994840804	1.2373371950004015	73.3297563102382	21.47811829046142	1.0	1.0	-49871.63994840804	0.0	-682.3088229977395
15000	-50240.448604649035	-681.750748812127	-49558.69785583691	1.1764954211849292	70.90749407898348	23.347111663160486	1.0	1.0	-49558.69785583691	0.0	-678.6002755331724
16000	-50004.47172264884	-680.1994215062047	-49324.272301142635	1.2223309862031981	71.80558200568586	21.065783874593464	1.0	1.0	-49324.272301142635	0.0	-677.151771399285
17000	-49779.031192544215	-684.2894340298232	-49094.74175851439	1.2507337293897016	72.7486855894515	19.070298104445456	1.0	1.0	-49094.74175851439	0.0	-681.3413019782173
18000	-49680.13778596469	-683.2747649113767	-48996.863021053316	1.2614116970600797	72.13231466044647	20.454435723619863	1.0	1.0	-48996.863021053316	0.0	-680.2565651466081
19000	-49519.24947070649	-679.2670732125952	-48839.9823974939	1.2155618367415528	69.94539948709277	19.853037395426956	1.0	1.0	-48839.9823974939	0.0	-676.2787161997661
20000	-49446.71558176148	-681.7885098912594	-48764.92707187022	1.3234897344757817	71.00002342641741	21.843341697536918	1.0	1.0	-48764.92707187022	0.0	-678.7046137439582
21000	-49310.201365497254	-674.2377625535141	-48635.96360294374	1.2629346488592132	68.46073388978017	19.776431827516507	1.0	1.0	-48635.96360294374	0.0	-671.2532716365389
22000	-49236.16664521524	-677.6455772127484	-48558.52106800249	1.1605385617690858	69.1711003545548	20.77048389019597	1.0	1.0	-48558.52106800249	0.0	-674.6120442775779
23000	-49198.72861130899	-675.5619438307956	-48523.16666747819	1.2341597772118926	68.74094786978553	19.141777856476438	1.0	1.0	-48523.16666747819	0.0	-672.6100705621212
24000	-49168.97471297311	-678.7355743648492	-48490.23913860826	1.233378304151129	69.54489074054449	21.397802123670257	1.0	1.0	-48490.23913860826	0.0	-675.6722861525973
25000	-49101.980743827145	-677.8111962422487	-48424.1695475849	1.2433752781517042	69.13265608345768	17.68028268217975	1.0	1.0	-48424.1695475849	0.0	-674.938746196356
26000	-49086.7882138669	-678.7322039795749	-48408.056009887325	1.201062689536919	69.65771928480338	20.264752908830182	1.0	1.0	-48408.056009887325	0.0	-675.7233209125702
27000	-49069.602994812965	-678.1575022268722	-48391.44549258609	1.2999957911761535	69.56740458163377	18.9954482064729	1.0	1.0	-48391.44549258609	0.0	-675.2133028444872
