Azfi_scaffold_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Azfi_s0185.g056566,161.993058683642,0.049479239740615,0.376265334120967,0.131500925686414,0.895379054342116,0.996
Azfi_s0185.g056567,151.915096931114,0.122604030694346,0.327147257559754,0.374767105213933,0.707833680441806,0.996
Azfi_s0185.g056576,503.324793246395,-0.221488271591836,0.295883041877325,-0.748566968172738,0.454118247481026,0.974
Azfi_s0185.g056578,815.232156644965,-0.022687097252005,0.363626937457352,-0.062391134745527,0.950251354655427,0.999
Azfi_s0185.g056580,27.4881996009056,0.441469206033555,0.66334090502146,0.66552386969001,0.505715481564819,0.978
Azfi_s0185.g056581,8.99358836781512,-0.085889755966648,1.02040660821744,-0.08417208912111,0.932919609073082,0.997
Azfi_s0185.g056582,36.0102729341986,1.05534297362358,0.577943769435145,1.82603054040191,0.067845661672309,0.691
Azfi_s0185.g056584,828.785132707157,-0.264449013256138,0.342825106976342,-0.771381698349144,0.440480719818775,0.971
Azfi_s0185.g056585,1359.7400767621,-0.015710437264611,0.483120262983607,-0.032518688343951,0.974058412767179,1.000
Azfi_s0185.g056588,74.5995303531642,-0.653416506544494,0.415860352135917,-1.57124020885486,0.116126863611416,0.798
Azfi_s0185.g056589,1130.20748918099,0.34989451536072,0.400214517200625,0.874267424900334,0.381972634884156,0.965
Azfi_s0185.g056592,873.71412120145,0.224014309351321,0.34348935585285,0.652172492492862,0.514289903015831,0.978
Azfi_s0185.g056594,82.05893046384,-0.385742368795502,0.405922183739586,-0.95028649393296,0.341966699670786,0.956
Azfi_s0185.g056595,86.9583821098843,0.250312340828013,0.403301014026299,0.620658843202636,0.534824114319332,0.982
Azfi_s0185.g056596,73.1181369513215,0.229056756623698,0.463920765471743,0.493741116310625,0.621489023510143,0.992
Azfi_s0185.g056598,497.706746915351,0.681773466248549,0.4067250938904,1.67625129722698,0.093688980169519,0.758
Azfi_s0185.g056599,152.893397646668,0.058528545866965,0.366546665221037,0.15967556499708,0.873136650212089,0.996
Azfi_s0185.g056600,3224.27330472506,-0.099139352827491,0.372965006190863,-0.265814087600372,0.790382393086294,0.996
Azfi_s0185.g056603,34.4274216400181,-0.25283997959519,0.589148323309556,-0.429161841919288,0.667805449989334,0.993
Azfi_s0185.g056605,445.442277738961,-0.48726538294112,0.401686242151051,-1.21304971843643,0.225110812325396,0.914
Azfi_s0185.g056607,815.42029206376,0.245790049288612,0.361388467556483,0.680126986205492,0.496424058514734,0.978
Azfi_s0185.g056610,26.4711548428004,-0.020368961575481,0.643709877989669,-0.031643077529111,0.974756689675468,1.000
Azfi_s0185.g056612,9.20258154443803,-0.419996126634245,1.04341041428827,-0.402522459890084,0.687299562409949,0.994
Azfi_s0185.g056615,143.577544519209,-0.037227817308005,0.34499445635661,-0.107908450765143,0.914068313527692,0.996
Azfi_s0185.g056616,26.2882051950137,0.269186445674295,0.630398217252527,0.427010163270279,0.669371925160605,0.993
Azfi_s0185.g056617,194.340327153324,0.244546591213751,0.479422665572166,0.510085585799114,0.609991503082979,0.987
Azfi_s0185.g056619,1595.70710383053,0.017990857654676,0.489605710976956,0.03674560416948,0.970687846308453,1.000
Azfi_s0185.g056620,6145.94066872884,0.377688853089575,0.270304962926439,1.39726939898014,0.162332574336072,0.862
Azfi_s0185.g056622,104.528270661249,0.459924814430715,0.44392076612771,1.03605158740963,0.300178076239503,0.943
Azfi_s0185.g056623,75.0882700158364,-0.293173969660386,0.458823946760054,-0.638968327025232,0.522843536648403,0.980
Azfi_s0185.g056624,21.7606743686734,-0.730520262946862,0.867273459692802,-0.842318250123347,0.39960983829785,0.965
Azfi_s0185.g056625,630.653580089166,-0.798885627654107,0.349191647332281,-2.28781425259554,0.022148340476119,0.436
Azfi_s0185.g056628,190.509515500963,-0.588187830418945,0.343458537330805,-1.7125439215751,0.086796477686352,0.738
Azfi_s0185.g056629,243.562622151966,0.112403543267964,0.321316066760281,0.349822355294246,0.726472020714772,0.996
Azfi_s0185.g056633,2705.18600956878,0.697514056285081,0.540560530040087,1.29035328612201,0.196928023519616,0.895
Azfi_s0185.g056635,300.657829625551,-0.159181488037514,0.36795557512042,-0.432610616065321,0.665297675704806,0.993
Azfi_s0185.g056637,33.9443548749904,1.17110814859426,0.562686359779039,2.08128050065786,0.03740823889743,0.550
Azfi_s0185.g056639,870.220555351353,0.229967587410074,0.302812201771854,0.759439633094234,0.447589612603702,0.972
Azfi_s0185.g056641,438.654962607746,0.353470210212032,0.361404603146509,0.978045678263651,0.328051732739235,0.947
Azfi_s0185.g056643,3.41780620885815,-1.27751101288064,1.57856470328566,-0.809286442438246,0.418350402747737,0.970
Azfi_s0185.g056645,664.405752661709,0.467059028818472,0.338598147701395,1.37939038352438,0.167774422617311,0.871
Azfi_s0185.g056646,0.830992052732202,0.042757394561305,2.98547810204225,0.014321791384789,0.988573254402734,1.000
Azfi_s0185.g056647,7.89420321477187,-1.1411133263461,0.960141834380879,-1.18848412337112,0.234642731184923,0.915
Azfi_s0185.g056648,1.41169334150757,-1.52862577737742,2.69615772094977,-0.566964523440022,0.570738284858749,0.983
Azfi_s0185.g056649,68.4552273551328,-0.246700846468213,0.424804584766521,-0.580739604314308,0.561415965321545,0.983
Azfi_s0185.g056651,4155.05761649668,0.662186745033223,0.324360307737768,2.04151595998785,0.041199569141063,0.569
Azfi_s0185.g056653,2275.57365235703,-0.076969644584668,0.279904155594896,-0.274985715810758,0.783327212554687,0.996
Azfi_s0185.g056654,589.682754739905,-0.17614104537592,0.41484707692471,-0.424592711805192,0.671133606901736,0.993
Azfi_s0185.g056655,636.632969471222,0.300767662799707,0.32435489809942,0.927279546453828,0.353781411081004,0.961
Azfi_s0185.g056657,240.561793969716,0.095021972715757,0.322134132693873,0.294976418428957,0.768011893993695,0.996
Azfi_s0185.g056659,125.540776313829,0.126447859695379,0.479721358760085,0.263586053416932,0.792098906341217,0.996
Azfi_s0185.g056661,72.5792917585184,0.015169916592693,0.397305355816903,0.038182008801522,0.969542565331946,1.000
Azfi_s0185.g056662,160.173446994382,-0.545324321576245,0.485358973803966,-1.12354844766195,0.26120463664005,0.931
Azfi_s0185.g056663,2248.38187419965,-0.430858452162931,0.252326071976309,-1.70754630620725,0.087720558617216,0.738
Azfi_s0185.g056664,84.5564472728142,-0.146493230917621,0.490479690499088,-0.298673388022565,0.765189264001237,0.996
Azfi_s0185.g056665,208.671473233747,-0.003493622286686,0.346939678249594,-0.010069826271565,0.991965576871808,1.000
Azfi_s0185.g056668,1137.51338666954,-0.081745115916468,0.339220823435048,-0.240979062218802,0.809571344325335,0.996
Azfi_s0185.g056671,242.508728656396,-0.293104243524469,0.365852061450274,-0.801155096304704,0.423041863152268,0.970
Azfi_s0185.g056672,952.586444793499,0.772165015316056,0.408743818663406,1.88911729073002,0.058876114060634,0.654
Azfi_s0185.g056673,431.460507712994,-0.223064592987745,0.492726593827074,-0.452714742379079,0.650754162503155,0.993
Azfi_s0185.g056674,19.3855735776901,-1.43718638908185,1.1432545114667,-1.2571009995299,0.208717065279188,0.906
Azfi_s0185.g056677,103.058925968074,-0.385068611674859,0.355402354867085,-1.0834723135666,0.278598833413071,0.939
Azfi_s0185.g056678,6.39130634211449,-0.327819195608971,1.08078674365655,-0.303315337214336,0.761649559001831,0.996
Azfi_s0185.g056680,26.3895709451332,-1.71031512494067,0.658463059998328,-2.59743519240853,0.009392284208346,0.283
Azfi_s0185.g056681,66.2704868333952,-0.230050673555886,0.501230629868352,-0.458971698549844,0.646254489777846,0.993
Azfi_s0186.g056693,57.9291432764391,0.851244390065584,0.483421297879416,1.76087481829962,0.078259592899493,0.716
Azfi_s0186.g056695,19461.7476928418,0.56851767055382,0.298218627764103,1.90637880274712,0.056601076862099,0.644
Azfi_s0186.g056696,295.222757727244,1.09964675130635,0.326509005129725,3.36789103525477,0.00075745526519,0.050
Azfi_s0186.g056700,360.391121149015,1.29667630146941,0.294197996421427,4.40749535089276,1.05E-05,0.002
Azfi_s0186.g056707,99.4269002458024,-0.617978421286708,0.359721839092171,-1.71793412055909,0.085808632364012,0.737
Azfi_s0187.g056716,11.0850007087548,0.464691750704765,0.798943161796718,0.581633053419889,0.560813873944358,0.983
Azfi_s0187.g056718,1370.27945611642,0.089719535567666,0.378553849857238,0.237006004829965,0.812652131785231,0.996
Azfi_s0187.g056724,20283.1856147371,0.980390445407736,0.477106153979305,2.05486858056805,0.039891699927277,0.562
Azfi_s0187.g056728,5.9899918566694,-0.608628628154755,1.3158782812813,-0.462526539735968,0.643703774690991,0.993
Azfi_s0187.g056732,3053.05267063097,-0.804320240280525,0.410637816713222,-1.9587096159783,0.050146803663554,0.610
Azfi_s0187.g056734,142.535432925408,-0.052882883780375,0.411514386565768,-0.128507982969202,0.897746981110715,0.996
Azfi_s0187.g056736,53.6757258634985,-1.91974556071034,0.861548552737842,-2.22824999776245,0.025863848677993,0.468
Azfi_s0187.g056738,1208.28108058104,0.462893775961707,0.31908223968953,1.45070366941171,0.146862393258855,0.842
Azfi_s0187.g056740,90.8264633054657,-0.330400497377351,0.543907982447186,-0.607456606705406,0.543547931789456,0.983
Azfi_s0187.g056741,352.176909085376,-0.215900257814597,0.325858419431756,-0.662558476135408,0.507613371787173,0.978
Azfi_s0187.g056745,28.2863620541171,-0.254766716931373,0.926029139888762,-0.275117386653704,0.783226054199407,0.996
Azfi_s0187.g056749,104.294759227832,-0.096136553903705,0.390946054459183,-0.245907466790261,0.805753863622744,0.996
Azfi_s0187.g056750,77.1855840771888,0.082830900629532,0.435334944124755,0.190269358679818,0.849098063255739,0.996
Azfi_s0187.g056753,994.511914572886,-0.092431904054516,0.299899078611404,-0.308210030129118,0.757922520791987,0.996
Azfi_s0187.g056755,1241.73025703286,-0.134027952637916,0.354551510446667,-0.378021101839522,0.705414918101109,0.996
Azfi_s0188.g056766,1175.74304725981,0.194039999076493,0.360831623368232,0.537757742143552,0.59074430942813,0.984
Azfi_s0188.g056768,194.229482004433,-0.044547766292311,0.434502662988985,-0.10252587633379,0.918339274723681,0.996
Azfi_s0188.g056770,1.66614802826639,0.785786298463213,2.48026051537987,0.316816033473349,0.751383197497898,0.996
